l1,l2,Lambda
0.1,0.1,0.004541465669011492
0.1,0.40134228187919463,1.1069020518587616
0.1,0.7026845637583892,1.4195686795631393
0.1,1.0040268456375838,2.192519671064204
0.1,1.3053691275167785,2.569307976029782
0.1,1.6067114093959731,2.732745862695906
0.1,1.9080536912751676,2.7827015869991305
0.1,2.209395973154362,2.7668319339104124
0.1,2.510738255033557,2.714232740699144
0.1,2.8120805369127515,2.643244151533725
0.1,3.113422818791946,2.5650699927093004
0.1,3.414765100671141,2.486264914814292
0.1,3.716107382550335,2.4104553661843133
0.1,4.017449664429529,2.3394781041565036
0.1,4.318791946308724,2.2741047274100223
0.1,4.6201342281879185,2.214492169685182
0.1,4.921476510067113,2.1604577272680694
0.1,5.222818791946308,2.1116447923335726
0.1,5.5241610738255025,2.0676205268518526
0.1,5.825503355704697,2.027932357039929
0.1,6.126845637583892,1.9921392511664548
0.1,6.428187919463086,1.959827998103969
0.1,6.729530201342281,1.9306206330949502
0.1,7.030872483221476,1.9041764143192352
0.1,7.3322147651006695,1.8801911418448012
0.1,7.633557046979864,1.858394908940607
0.1,7.934899328859059,1.838549211880934
0.1,8.236241610738254,1.8204436775464856
0.1,8.537583892617448,1.8038928549532667
0.1,8.838926174496644,1.7887333667269605
0.1,9.140268456375837,1.7748213045693524
0.1,9.441610738255033,1.7620296973424685
0.1,9.742953020134227,1.7502464639989304
0.1,10.04429530201342,1.7393724613532862
0.1,10.345637583892616,1.7293198665951077
0.1,10.64697986577181,1.7200107446013002
0.1,10.948322147651005,1.711375815000414
0.1,11.249664429530199,1.7033534291025727
0.1,11.551006711409395,1.6958885814164602
0.1,11.852348993288588,1.6889321283736973
0.1,12.153691275167784,1.6824400575361744
0.1,12.455033557046978,1.6763728953391002
0.1,12.756375838926173,1.6706951638567087
0.1,13.057718120805367,1.6653749279104562
0.1,13.359060402684563,1.6603833828096952
0.1,13.660402684563756,1.6556944940579201
0.1,13.961744966442952,1.651284712191315
0.1,14.263087248322146,1.6471326879311996
0.1,14.56442953020134,1.643219046862976
0.1,14.865771812080535,1.6395261667740226
0.1,15.167114093959729,1.6360379940392615
0.1,15.468456375838924,1.6327398895389762
0.1,15.769798657718118,1.6296184826265971
0.1,16.071140939597313,1.6266615379066045
0.1,16.37248322147651,1.6238578448201
0.1,16.673825503355705,1.6211971226934878
0.1,16.9751677852349,1.6186699297082028
