l1,l2,Lambda
0.1,0.1,-0.2750556842604551
0.1,0.40134228187919463,-1.901959207168156
0.1,0.7026845637583892,1.7159835838928086
0.1,1.0040268456375838,1.0513983935324556
0.1,1.3053691275167785,0.12598356476072956
0.1,1.6067114093959731,-0.41354812815726083
0.1,1.9080536912751676,-0.4449874065850518
0.1,2.209395973154362,-0.2147971105784899
0.1,2.510738255033557,0.06260427851041957
0.1,2.8120805369127515,0.3080279014810862
0.1,3.113422818791946,0.5080403919985984
0.1,3.414765100671141,0.6678095506015043
0.1,3.716107382550335,0.7955048966845175
0.1,4.017449664429529,0.8983625429518625
0.1,4.318791946308724,0.9820566709731421
0.1,4.6201342281879185,1.050880491623821
0.1,4.921476510067113,1.1080587344528148
0.1,5.222818791946308,1.1560208310635325
0.1,5.5241610738255025,1.1966123173272956
0.1,5.825503355704697,1.2312488190949162
0.1,6.126845637583892,1.2610274008546558
0.1,6.428187919463086,1.2868074850295845
0.1,6.729530201342281,1.3092681856447335
0.1,7.030872483221476,1.3289517957698613
0.1,7.3322147651006695,1.346295196510329
0.1,7.633557046979864,1.3616535887413623
0.1,7.934899328859059,1.3753171119028835
0.1,8.236241610738254,1.3875250991841448
0.1,8.537583892617448,1.398476273424968
0.1,8.838926174496644,1.4083371886069944
0.1,9.140268456375837,1.4172474020885648
0.1,9.441610738255033,1.4253249450328054
0.1,9.742953020134227,1.4326701847434407
0.1,10.04429530201342,1.4393688705471268
0.1,10.345637583892616,1.4454944148719562
0.1,10.64697986577181,1.4511103616688596
0.1,10.948322147651005,1.4562715241190274
0.1,11.249664429530199,1.4610257064927499
0.1,11.551006711409395,1.4654145463774857
0.1,11.852348993288588,1.469474527142872
0.1,12.153691275167784,1.4732375485821059
0.1,12.455033557046978,1.4767318480778888
0.1,12.756375838926173,1.4799824456360982
0.1,13.057718120805367,1.4830114326391979
0.1,13.359060402684563,1.485838469760491
0.1,13.660402684563756,1.4884810897000647
0.1,13.961744966442952,1.4909549980318675
0.1,14.263087248322146,1.493274282070279
0.1,14.56442953020134,1.4954515180856145
0.1,14.865771812080535,1.4974980371613469
0.1,15.167114093959729,1.499424125097269
0.1,15.468456375838924,1.5012390957163766
0.1,15.769798657718118,1.5029512269768663
0.1,16.071140939597313,1.5045681818194339
0.1,16.37248322147651,1.5060968656844753
0.1,16.673825503355705,1.5075436031802778
0.1,16.9751677852349,1.5089141627786729
0.1,17.276510067114092,1.5102137829088482
0.1,17.57785234899329,1.5114472264535956
0.1,17.879194630872483,1.5126189748256509
0.1,18.180536912751677,1.5137330994292435
0.1,18.48187919463087,1.5147932315901405
0.1,18.783221476510068,1.5158028402748525
0.1,19.084563758389262,1.5167651065616485
0.1,19.385906040268456,1.517682887139095
0.1,19.68724832214765,1.5185589381562814
0.1,19.988590604026843,1.5193957106394966
0.1,20.28993288590604,1.5201955412136647
0.1,20.591275167785234,1.5209605595832758
0.1,20.892617449664428,1.5216927569377314
0.1,21.19395973154362,1.5223939627495113
0.1,21.49530201342282,1.523065937520964
0.1,21.796644295302013,1.5237103152895555
0.1,22.097986577181207,1.524328528223181
0.1,22.3993288590604,1.5249219506891678
0.1,22.700671140939598,1.5254919232905166
0.1,23.00201342281879,1.526039671095332
0.1,23.303355704697985,1.5265663165317167
0.1,23.60469798657718,1.527072902972979
0.1,23.906040268456376,1.5275605345260483
0.1,24.20738255033557,1.5280300858490337
0.1,24.508724832214764,1.528482463541033
0.1,24.810067114093957,1.5289184171621113
0.1,25.11140939597315,1.529338787408846
0.1,25.41275167785235,1.5297443183181123
0.1,25.714093959731542,1.5301356866170006
0.1,26.015436241610736,1.530513563064187
0.1,26.31677852348993,1.5308785372650477
0.1,26.618120805369127,1.5312312099295748
0.1,26.91946308724832,1.5315721152243285
0.1,27.220805369127515,1.5319017806559188
0.1,27.52214765100671,1.5322206323176384
0.1,27.823489932885906,1.5325291742198652
0.1,28.1248322147651,1.532827872016939
0.1,28.426174496644293,1.533117164772586
0.1,28.727516778523487,1.5333974205650833
0.1,29.02885906040268,1.5336689812522235
0.1,29.330201342281878,1.5339322159150814
0.1,29.631543624161072,1.5341874704654632
0.1,29.932885906040266,1.5344350384209366
0.1,30.23422818791946,1.5346752534398196
0.1,30.535570469798657,1.5349083906631706
0.1,30.83691275167785,1.5351347414823806
0.1,31.138255033557044,1.5353545529246573
0.1,31.439597315436238,1.535568069216666
0.1,31.740939597315435,1.5357755374148045
0.1,32.042281879194626,1.5359771750520905
0.1,32.343624161073826,1.5361732085694595
0.1,32.64496644295302,1.5363638226242933
0.1,32.946308724832214,1.536549225955443
0.1,33.24765100671141,1.5367296112980289
0.1,33.5489932885906,1.536905182365487
0.1,33.850335570469795,1.5370760867011792
0.1,34.15167785234899,1.537242484972335
0.1,34.45302013422818,1.5374045453727414
0.1,34.75436241610738,1.5375623756087422
0.1,35.05570469798658,1.5377161522227898
0.1,35.35704697986577,1.5378660531516215
0.1,35.658389261744965,1.5380121338812607
0.1,35.95973154362416,1.5381546229714056
0.1,36.26107382550335,1.5382935704876275
0.1,36.562416107382546,1.5384290528656406
0.1,36.86375838926174,1.5385611873414522
0.1,37.165100671140934,1.5386901690237202
0.1,37.466442953020135,1.5388161161613765
0.1,37.76778523489933,1.5389389711675356
0.1,38.06912751677852,1.5390589858211163
0.1,38.370469798657716,1.5391761709758318
0.1,38.67181208053691,1.5392906062924914
0.1,38.9731543624161,1.5394024340701218
0.1,39.2744966442953,1.539511674779407
0.1,39.57583892617449,1.5396184521170322
0.1,39.877181208053685,1.5397228852795337
