m1,m2,Lambda
0.01,0.01,3.1902380952909
0.01,0.6810738255033557,-1.4609041775613967
0.01,1.3521476510067114,-0.9505642634080627
0.01,2.023221476510067,-0.9700705271998143
0.01,2.6942953020134226,-0.9938074163524349
0.01,3.3653691275167783,-1.638664994262898
0.01,4.036442953020134,-1.0568009071155602
0.01,4.707516778523489,-1.0105779660117808
0.01,5.378590604026845,-1.079432812796001
0.01,6.049664429530202,-1.2635931786788557
0.01,6.720738255033557,-1.3449784050691953
0.01,7.391812080536912,-1.627109642775532
0.01,8.062885906040268,-1.7729279643926033
0.01,8.733959731543624,-0.9647822859404324
0.01,9.405033557046979,-0.4851737395484417
0.01,10.076107382550335,-0.9642993353839708
0.01,10.747181208053691,-1.683325437614615
0.01,11.418255033557047,-1.6612998525044294
0.01,12.089328859060403,-0.686533469583404
0.01,12.760402684563758,-0.7350238480702689
0.01,13.431476510067114,-2.4729644819380368
0.01,14.10255033557047,-0.6192287287866406
0.01,14.773624161073824,-0.3838403262130977
0.01,15.44469798657718,-2.168060477263205
0.01,16.11577181208054,-1.3190535100097582
0.01,16.786845637583895,-0.9432784137672671
0.01,17.45791946308725,-0.9782772986581999
0.01,18.128993288590607,-1.1227307342997075
0.01,18.80006711409396,-1.6151654824811683
0.01,19.471140939597316,-1.341351268732772
0.01,20.14221476510067,-0.8468679075987325
0.01,20.813288590604028,-1.1014943874109393
0.01,21.484362416107384,-1.0857157885993451
0.01,22.15543624161074,-1.3343181519952525
0.01,22.826510067114096,-1.270072859490331
0.01,23.497583892617453,-1.0751106628378124
0.01,24.16865771812081,-1.0282693697894656
0.01,24.83973154362416,-1.0498853947612605
0.01,25.510805369127517,-1.3054150256248744
0.01,26.181879194630874,-1.2532812025325744
0.01,26.85295302013423,-1.480655050820761
0.01,27.524026845637586,-1.2147646044962193
0.01,28.195100671140942,-1.2997505507518505
0.01,28.866174496644298,-1.0223229063721702
0.01,29.53724832214765,-1.2412971498687073
0.01,30.208322147651007,-1.1351358575471804
0.01,30.879395973154363,-1.265379799609233
0.01,31.55046979865772,-1.2567973567837565
0.01,32.22154362416107,-1.2340850264024652
0.01,32.89261744966443,-1.2401445903947526
0.01,33.563691275167784,-1.1406288061151895
0.01,34.23476510067114,-1.1405307494857952
0.01,34.905838926174496,-1.3724770439401748
0.01,35.57691275167785,-1.1062275261415788
0.01,36.24798657718121,-1.2876443526907997
0.01,36.919060402684565,-1.4142513157662984
0.01,37.590134228187914,-0.8512434522778788
0.01,38.26120805369127,-1.7016397878810876
0.01,38.932281879194626,-0.8927913249047026
0.01,39.60335570469798,-1.0715482246974444
0.01,40.27442953020134,-1.7569527678459398
0.01,40.945503355704695,-0.6544892798963846
0.01,41.61657718120805,-1.4755682943975794
0.01,42.28765100671141,-1.3293356403482715
0.01,42.95872483221476,-1.003508809940546
0.01,43.62979865771812,-1.4937587472200595
0.01,44.300872483221475,-0.8795764047929903
0.01,44.97194630872483,-1.5563335291439204
0.01,45.64302013422819,-1.2308157969456086
0.01,46.314093959731544,-0.7509646234482373
0.01,46.9851677852349,-1.8405943153918567
0.01,47.656241610738256,-0.9291152262876067
0.01,48.32731543624161,-0.9700146456566442
0.01,48.99838926174496,-2.0135476222515165
0.01,49.66946308724832,-0.792843226282569
0.01,50.34053691275167,-0.9370326712806339
0.01,51.01161073825503,-1.6935694245134267
0.01,51.682684563758386,-0.8896602551426852
0.01,52.35375838926174,-1.3185788045819928
0.01,53.0248322147651,-1.6332801745188679
0.01,53.695906040268454,-0.8031041416897817
0.01,54.36697986577181,-1.0730653224015323
0.01,55.03805369127517,-1.3424142128458183
0.01,55.70912751677852,-1.1240996485974832
0.01,56.38020134228188,-1.5430338553340688
0.01,57.051275167785235,-1.524093862861581
0.01,57.72234899328859,-1.0529292356102644
0.01,58.39342281879195,-1.0217682863906818
0.01,59.064496644295296,-0.8954399612063142
0.01,59.73557046979865,-1.0062193840829519
0.01,60.40664429530201,-1.4549541615360562
0.01,61.077718120805365,-1.4976708494381006
0.01,61.74879194630872,-1.5826067892159534
0.01,62.41986577181208,-1.4332355679591235
0.01,63.09093959731543,-1.0730781506284783
0.01,63.76201342281879,-0.9332782471448001
0.01,64.43308724832215,-0.9376862477000781
0.01,65.10416107382551,-1.0143115349999612
0.01,65.77523489932886,-1.104567041893348
0.01,66.44630872483222,-1.5909052218987474
0.01,67.11738255033558,-1.5221860451719724
0.01,67.78845637583893,-1.4442298992129163
0.01,68.45953020134229,-1.4120920941736923
0.01,69.13060402684565,-1.0524399540985383
0.01,69.801677852349,-0.9661369820642833
0.01,70.47275167785236,-1.0451292563763228
0.01,71.14382550335571,-1.0922881863932823
0.01,71.81489932885907,-1.0645799570504424
0.01,72.48597315436243,-1.417192333989488
0.01,73.15704697986578,-1.3973917892552585
0.01,73.82812080536914,-1.4347308866645172
0.01,74.4991946308725,-1.377467430731819
0.01,75.17026845637584,-1.3540916973063613
0.01,75.8413422818792,-1.013834708021878
0.01,76.51241610738255,-1.0198989286816587
0.01,77.1834899328859,-1.2174128316954267
0.01,77.85456375838926,-1.0957617973865774
0.01,78.52563758389262,-1.1194341269674881
0.01,79.19671140939597,-1.2789589559690766
0.01,79.86778523489933,-1.4207458062757325
0.01,80.53885906040269,-1.2858248452476426
0.01,81.20993288590604,-1.3113203788439027
0.01,81.8810067114094,-1.3497902751131328
0.01,82.55208053691275,-1.278790420333291
0.01,83.22315436241611,-1.1153829323459978
0.01,83.89422818791947,-1.0746983569870883
0.01,84.56530201342282,-1.111080139729439
0.01,85.23637583892618,-1.2950877224510333
0.01,85.90744966442954,-1.23460221321359
0.01,86.57852348993289,-1.114880654273092
0.01,87.24959731543625,-1.1784218025551472
0.01,87.9206711409396,-1.5621237299031034
0.01,88.59174496644296,-1.3702790283695676
0.01,89.26281879194632,-0.9968115075642612
0.01,89.93389261744967,-1.105105047418806
0.01,90.60496644295303,-1.6594013884156869
0.01,91.27604026845638,-1.2965891049077578
0.01,91.94711409395974,-0.7410243233602043
0.01,92.6181879194631,-0.9339144382096947
0.01,93.28926174496645,-1.7188295409790812
0.01,93.96033557046981,-1.4211861774020282
0.01,94.63140939597317,-0.8642270220677976
0.01,95.30248322147652,-0.9846426498049097
0.01,95.97355704697988,-1.6248312686130444
0.01,96.64463087248323,-1.4166433385278638
0.01,97.31570469798658,-1.029334403050634
0.01,97.98677852348993,-1.2054423957468499
0.01,98.65785234899329,-1.4681292476929741
0.01,99.32892617449664,-1.1433382719870302
0.01,100.0,-0.8892865714897895
0.6810738255033557,0.01,1.6958974412875334
0.6810738255033557,0.6810738255033557,3.1902380950598905
0.6810738255033557,1.3521476510067114,2.7216129858779614
0.6810738255033557,2.023221476510067,1.4677034069772232
0.6810738255033557,2.6942953020134226,1.4086841640197654
0.6810738255033557,3.3653691275167783,1.039606326731077
0.6810738255033557,4.036442953020134,0.061680763941647704
0.6810738255033557,4.707516778523489,-2.0966519443358176
0.6810738255033557,5.378590604026845,-2.7611171827020105
0.6810738255033557,6.049664429530202,-2.2069676878220172
0.6810738255033557,6.720738255033557,-1.3298945160395503
0.6810738255033557,7.391812080536912,-0.6776678246597501
0.6810738255033557,8.062885906040268,-0.1855766853636569
0.6810738255033557,8.733959731543624,-0.011282046825181337
0.6810738255033557,9.405033557046979,-0.09100650712031674
0.6810738255033557,10.076107382550335,-0.4595681983646812
0.6810738255033557,10.747181208053691,-1.2678864759853317
0.6810738255033557,11.418255033557047,-2.0926728735847426
0.6810738255033557,12.089328859060403,-2.5630413686412075
0.6810738255033557,12.760402684563758,-2.5953998441670834
0.6810738255033557,13.431476510067114,-2.2876757577820004
0.6810738255033557,14.10255033557047,-1.839572782750283
0.6810738255033557,14.773624161073824,-1.2838002732171574
0.6810738255033557,15.44469798657718,-0.9299494017364858
0.6810738255033557,16.11577181208054,-0.46185052356791717
0.6810738255033557,16.786845637583895,-0.24612947273443603
0.6810738255033557,17.45791946308725,-0.16937808948397967
0.6810738255033557,18.128993288590607,-0.12148322238895196
0.6810738255033557,18.80006711409396,-0.338725763474676
0.6810738255033557,19.471140939597316,-0.7442694333148824
0.6810738255033557,20.14221476510067,-1.0255790532446822
0.6810738255033557,20.813288590604028,-1.3023270467546573
0.6810738255033557,21.484362416107384,-1.3954838128605314
0.6810738255033557,22.15543624161074,-1.3334593768346858
0.6810738255033557,22.826510067114096,-1.1892745870917132
0.6810738255033557,23.497583892617453,-1.0936305572305003
0.6810738255033557,24.16865771812081,-0.7737114241075653
0.6810738255033557,24.83973154362416,-0.5432548585130949
0.6810738255033557,25.510805369127517,-0.4484102326942806
0.6810738255033557,26.181879194630874,-0.3509181490744006
0.6810738255033557,26.85295302013423,-0.16551251924778307
0.6810738255033557,27.524026845637586,-0.084231885644278
0.6810738255033557,28.195100671140942,-0.16779939147720263
0.6810738255033557,28.866174496644298,-0.36719283588335505
0.6810738255033557,29.53724832214765,-0.5619864633699191
